Headlines,Column2
On Cam | Dutch YouTuber Manhandled In Bengaluru's Busy Market; Accused Arrested,https://www.news18.com/india/on-cam-dutch-youtuber-physically-assaulted-harassed-in-bengalurus-chor-bazar-8056921.html
Anushka Sharma Being Blamed For India's Loss in WTC Final Sparks Outrage Online,https://www.news18.com/viral/anushka-sharma-being-blamed-for-indias-loss-in-wtc-final-sparks-outrage-online-8058085.html
"Gurugram Man Gets Drunk With Stranger, Gets 'Lift' to Metro Station, Realises it Was His Own Car",https://www.news18.com/viral/gurugram-man-gets-drunk-with-stranger-gets-lift-to-metro-station-realises-it-was-his-own-car-8058175.html
Indian-Origin CEO Vishal Garg’s Better.com Lays Off Entire Real Estate Team Over Zoom Call,https://www.news18.com/business/indian-origin-ceo-vishal-gargs-better-com-lays-off-entire-real-estate-team-over-zoom-call-8058103.html
Niharika Konidela CONFIRMS Divorce From Chaitanya Jonnalagadda With Latest Instagram Post?,https://www.news18.com/movies/niharika-konidela-confirms-divorce-from-chaitanya-jonnalagadda-with-latest-instagram-post-8055325.html
WTC Final: India Fined 100 Per Cent Match Fee for Slow Over Rate,https://www.news18.com/cricketnext/wtc-final-india-fined-100-per-cent-match-free-slow-over-rate-australia-oval-ind-vs-aus-8057809.html
"Telangana: 19-Year-Old Girl Stabbed in Eyes With Screwdriver, Throat Slit, Body Dumped in Water Tank",https://www.news18.com/india/telangana-19-year-old-girl-stabbed-in-eyes-with-screwdriver-throat-slit-body-dumped-in-water-tank-8058157.html
"No Extra Fee For Seat Beside The One Reserved For Lord Hanuman, Say Makers Of Adipurush",https://www.news18.com/movies/no-extra-fee-for-seat-beside-the-one-reserved-for-lord-hanuman-say-makers-of-adipurush-8057989.html
"Desi Woman Chats With WhatsApp Scammer, Hilarious Conversation Goes Viral",https://www.news18.com/viral/desi-woman-chats-with-whatsapp-scammer-hilarious-conversation-goes-viral-8056189.html
"Maruti Suzuki Engage MPV Spotted Undisguised Ahead of Official Launch, Pics Inside",https://www.news18.com/auto/maruti-suzuki-engage-mpv-spotted-undisguised-ahead-of-official-launch-pics-inside-8049001.html
